CÓDIGO,PROVEEDOR,DESCRIPCIÓN,STOCK,UBICACIÓN,,,FLUIDOS,,
02250057-036,P/SERVICIO,KIT RETEN P/S10-P10,0,CAJONES,,,250022-669,SULLUBE 32 ACEITE x 5GAL,32
02250057-036,SULLAIR,KIT RETEN P/S10-P10,1,CAJONES,,,02250196-470,PRISTINE,6
88290014-534,SULLAIR,SENS. TEMPERATURA P/ST,2,CAJONES,,,CC2825-FLE,Compleat EG Premix 50/50 x1Gal,6
250039-910,SULLAIR,TRANSDUCER PRES0-250,4,CAJONES,,,CC2848-FLE,Compleat EG Premix 50/50 x1Gal,5
408893,SULLAIR,VALVE SHUTTLE 1/4 (DBL CHK),13,CAJONES,,,250022-670,SULLUBE ACEITE 32 TAMBOR 55GL,0
`040588,SULLAIR,SENSOR TEMPERATURA 240 F.M.C.,3,CAJONES,,,S00801-038/B20,AC AZOLLA ZS32 x 20,1
02250129-175,SULLAIR,KIT DE AUTODRENAJE PARA WS700,0,CAJONES,,,250030-757,ACEITE AWF 5GL,1
02250049-634,SULLAIR,VALVULA DESPRESURIZADOR ALIVIO,7,CAJONES,,,,,
02250155-536,SULLAIR,TRANSDUCER PRES0-250,0,CAJONES,,,,,
02250112-031,SULLAIR,KIT F.AIRE P/S.20 (del -032),3,CAJONES,,,,,
02250105-553,P/SERVICIO,KIT VLV. TERMOSTATICA,3,CAJONES,,,,,
02250105-553,SULLAIR,KIT VLV. TERMOSTATICA,1,CAJONES,,,,,
02250100-042,SULLAIR,VLV DESPRESU 250 PSIG - ALIVIO,2,CAJONES,,,,,
02250166-220,SULLAIR,KIT INL REPAIR 5 VALVE,1,CAJONES,,,,,
´001151,SULLAIR,KIT REPAIR-14654 OIL STOP VLV.,0,CAJONES,,,,,
02250110-727,SULLAIR,KIT REP VLV PRES MIN S12LFREE*,1,CAJONES,,,,,
250022-782,SULLAIR,RESORTE CIL VEL P/185Q,0,CAJONES,,,,,
250026-758,SULLAIR,KIT REP. VLV MINIMA P/241581,0,CAJONES,,,,,
250017-280,SULLAIR,VALV. REG. DE PRESION P/LS10,1,CAJONES,,,,,
250031-438,P/SERVICIO,JGO.REP.VAL.POPPET-S12/10-50,13,CAJONES,,,,,
250031-438,SULLAIR,JGO.REP.VAL.POPPET-S12/10-50,0,CAJONES,,,,,
001078RA,SULLAIR,KIT REP. CEDAZO RETORNO,5,CAJONES,,,,,
001128-B-RA,SULLAIR,KIT ELECTROVLV. S/TRINQUETE,0,CAJONES,,,,,
250025-870,SULLAIR,CONECTOR 1/8 TUBO X 5/16 -18,1,CAJONES,,,,,
250025-412,SULLAIR,MANGUITO P/6E,1,CAJONES,,,,,
02250092-081,SULLAIR,ELEMENTO VLV TERMOSTATICA 195°,0,CAJONES,,,,,
´044905,SULLAIR,VALVULA,0,CAJONES,,,,,
049905RA,SULLAIR,VLV. RETENC.1/4 1 VIA,6,CAJONES,,,,,
041742RA,SULLAIR,LAMINAS P/VLV.REG.PRES. KIT,2,CAJONES,,,,,
250019-453,P/SERVICIO,KIT.REP.VALV.REG. P.AIRE,2,CAJONES,,,,,
250019-453,SULLAIR,KIT.REP.VALV.REG. P.AIRE,4,CAJONES,,,,,
02250155-174,SULLAIR,SENSOR ELECT.PRESION 0-250,4,CAJONES,,,,,
02250110-988,SULLAIR,KIT REP. VLV MINIMA P/241581,1,CAJONES,,,,,
`021172,SULLAIR,ARANDELA DE RESPALDO,8,CAJONES,,,,,
`027441,SULLAIR,SEAL VITON MPV(OLD 025693),1,CAJONES,,,,,
`040091,SULLAIR,TACO AMORTIG TABLERO,0,CAJONES,,,,,
