INVENTARIO,,,,,,,,,
Fecha de inicio 22/08/2025.,,,,,,,,,
CÓDIGO,PROVEEDOR,DESCRIPCIÓN,STOCK,UBICACIÓN,EQUIVALENCIAS,PRECIO,TOTAL,F. DE CONTROL,
02250209-667,ITR - ITALIA,   MANGUERA LP F-JIC 1.5 X 21 LG,1,A,,"$590,50","$590,50",06/07/2026,
02250209-581,SULLAIR,MANGUERA 5/8 ID - CONEXIÓN REC,1,A,,"$454,50","$454,50",06/07/2026,
02250209-579,SULLAIR,MANGUERA HIDRAU. 3/4 X 48 LG,0,A,,"$538,70","$0,00",07/08/2026,
´042582,SULLAIR,INDICADOR DE TEMP.,0,A,,,"$0,00",21/05/2026,
88290018-640,SULLAIR,CONTROLADOR p/ SHOPTEK,2,A,,"$1.890,90","$3.781,80",21/05/2026,
ESD5500E,IMP,SPEED CONTROL UNIT,10,-,,,"$0,00",23/07/2026,
2004438,PELLACANI,SENSOR BULBO DE PRESION SCANIA,1,A,,,"$0,00",26/05/2026,
250023-218,SULLAIR,DISTANCIADOR 375Q,0,A,,,"$0,00",21/05/2026,
3655944,IMP,,10,-,,,"$0,00",23/07/2026,
ADC120-12,IMP,ELECTRIC ACTUADOR 12V,2,-,,,"$0,00",23/07/2026,
ADC120-12,IMP,ELECTRIC ACTUADOR 24V,6,-,,,"$0,00",23/07/2026,
250023-340,SULLAIR,CHAVETA 375Q,0,A,,,"$0,00",21/05/2026,
`040930,SULLAIR,JUNTA UNION FLEXIBLE,0,A,,"$132,30","$0,00",21/05/2026,
0250025-001,SULLAIR,-,1,A,,,"$0,00",21/05/2026,
826502-232,SULLAIR,O-RING VITON 2 3/4 X 1/8,1,A,,"$36,40","$36,40",21/05/2026,
250022-782,SULLAIR,RESORTE CIL VEL P/185Q,1,A,,"$44,30","$44,30",21/05/2026,
02250155-536,SULLAIR,TRANSDUCER PRES0,1,A,,"$2.106,00","$2.106,00",21/05/2026,
`040523,SULLAIR,JUNTA FLEXMASTER 3 S.20,1,A,,"$182,50","$182,50",21/05/2026,
02250166-967,SULLAIR,-,1,A,,,"$0,00",21/05/2026,
`040091,SULLAIR,TACO AMORTIG TABLERO,1,A,,"$17,50","$17,50",21/05/2026,
`040649,SULLAIR,FLEXMASTER 2 1/2,2,A,,,"$0,00",21/05/2026,
02250152-810,SULLAIR,FLG KIT SAE SPLIT 2 M12 X 30,2,A,,"$121,50","$243,00",21/05/2026,
307-3070,CUMMINS,RELAY 12V,3,A,,"$131,70","$395,10",21/05/2026,
250040-904,SULLAIR,KIT DOOR LATCH,2,A,,"$223,80","$447,60",21/05/2026,
68722536,SULLAIR,RETEN,1,A,,"$24,40","$24,40",21/05/2026,
7010944,SULLAIR,FLEX COUP.KIT,1,A,,"$90,30","$90,30",21/05/2026,
250006-526,SULLAIR,RESORTE LUZ DE CONTROL,1,A,,"$142,50","$142,50",21/05/2026,
02250209-583,SULLAIR,MANGUERA HIDRAU. 3/4 X 60 LG,1,A,,"$417,20","$417,20",21/05/2026,
`001684,SULLAIR,JGO REP VLV RETENCION (SELLOS),1,A,,"$162,50","$162,50",21/05/2026,
S/C,-,RETEN REDUCTOR E450 A/AJ,3,A,,,"$0,00",21/05/2026,
4954473,CUMMINS,JUNTA DE BOMBIN COMB p/ QSX15,1,A,,"$87,00","$87,00",21/05/2026,
0357-0030,CUMMINS,RECTIF. 6AMP P/DQKB/5NHD QSK60,1,A,,"$31,00","$31,00",21/05/2026,
267351,LUMMUS,-,1,A,,,"$0,00",21/05/2026,
3921642,CUMMINS,-,1,A,,,"$0,00",21/05/2026,
300-2812,ONAN,PLAQ.12LUCES (EX300-2812),2,A,,"$4.693,00","$9.386,00",21/05/2026,
300-4750,ONAN,,1,A,,,"$0,00",21/05/2026,
1810716,ONAN,-,1,A,,,"$0,00",21/05/2026,
300-4308,ONAN,,1,A,,,"$0,00",21/05/2026,
300-4296,ONAN,PLAQ.ENCENDIDO ECM 12LUCES 12V,1,A,,"$5.720,80","$5.720,80",21/05/2026,
300-5148-04,ONAN,MODULO,1,A,,"$602,00","$602,00",21/05/2026,
0327-1513,CUMMINS,PLAQUETA,2,A,,,"$0,00",21/05/2026,
300-3953-01,ONAN,,1,A,,,"$0,00",21/05/2026,
4935095,SULLAIR,BOMBIN COMB. 24V p/QSX15,0,A,,"$1.057,00","$0,00",21/05/2026,
0300-4819,CUMMINS,PLAQUETA (PC) P/DFHA/B/C,1,A,,"$4.387,80","$4.387,80",21/05/2026,
300-5179,CUMMINS,PANEL OPERADOR P/QSX15,1,A,,"$3.145,70","$3.145,70",21/05/2026,
02250049-415,SULLAIR,MANGUITO 1-15/16 P/375 JDC,1,A,,"$670,20","$670,20",21/05/2026,
300-6207-01,ONAN,CARG C/ SOPORTE F. LOTE 12V/10,1,A,,"$306,00","$306,00",21/05/2026,
250021-755,SULLAIR,MANOMETRO PRESION AIRE,1,A,,"$369,10","$369,10",21/05/2026,
02250152-678,SULLAIR,CVR CPLG ELEMENT 20R,1,A,,"$186,10","$186,10",21/05/2026,
02250152-670,SULLAIR,ELEM CPLG 20R P/P16,1,A,,"$323,50","$323,50",21/05/2026,
02250152-679,SULLAIR,COBERTOR ELEMENTO DE ACOPLE,1,A,,"$228,20","$228,20",21/05/2026,
02250152-671,SULLAIR,ELEMENTO DE ACOPLE,1,A,,"$454,20","$454,20",21/05/2026,
1060300,SULLAIR,CABLE 16/3 P/FT,1,A,,"$9,90","$9,90",21/05/2026,
02250152-669,SULLAIR,ACOPLE ELASTICO P/1100/2200,6,A,,"$186,10","$1.116,60",21/05/2026,
02250152-677,SULLAIR,CVR CPLG ELEMENT 10R,0,A,,"$148,40","$0,00",21/05/2026,
249608-014,SULLAIR,HOSE MED PRESS 0.50 X 017,2,A,,"$92,30","$184,60",21/05/2026,
`047398,SULLAIR,VALVULA REGULADORA DE AGUA,1,A,,,"$0,00",21/05/2026,
1801500,SULLAIR,RESISTENCIA PRE CALENTADOR,1,A,,,"$0,00",21/05/2026,
357-0030,CUMMINS,RECTIF. 6AMP P/DQKB/5NHD QSK60,1,A,,"$31,00","$31,00",21/05/2026,
02250049-020,SULLAIR,KIT SEAL UCS.20 (02250047-091),1,A,,"$1.868,40","$1.868,40",21/05/2026,
-,SULLAIR,DRENAJE AUTOMATICO,0,A,,,"$0,00",21/05/2026,
02250155-714,SULLAIR,VLV SOL 3WNO 1/4 250# 24VDC,1,A,,"$735,80","$735,80",21/05/2026,
040528RA,SULLAIR,ELECTROVALVULA (= 586 Asco),1,A,,"$584,30","$584,30",21/05/2026,
270001-030,SULLAIR,VLV SOL. 110v. 1 via arriba,1,A,,"$398,70","$398,70",21/05/2026,
250025-621,SULLAIR,KIT REP.VLV.TERMOST.250025-620,1,A,,"$766,60","$766,60",21/05/2026,
88290015-219,SULLAIR,VLV.SOLENOIDE P/SHOPTEK,1,A,,"$841,80","$841,80",21/05/2026,
02250053-273,SULLAIR IMPORTADO,KIT. REP. ADMISIÓN VLV. 6,2,A,,"$1.214,10","$2.428,20",21/05/2026,
`040771,SULLAIR,JUNTA FLEXMASTER 3 1/2,2,A,,"$255,30","$510,60",21/05/2026,
250028-762,SULLAIR IMPORTADO,ELEM VLV.TERMOSTATICA 190°F,1,A,,"$262,50","$262,50",21/05/2026,
02250182-546,SULLAIR IMPORTADO,PURGADOR MAGNETICO ZERO AIR,0,A,,"$215,70","$0,00",21/05/2026,
270008-586,SULLAIR IMPORTADO,VLV.SOLE 3VIA 110V*NO JEFFERSO,5,A,,"$386,00","$1.930,00",21/05/2026,
02250047-679,SULLAIR IMPORTADO,VALVULA DE SEGURIDAD,1,A,,"$949,30","$949,30",21/05/2026,
02250103-131,SULLAIR,KIT DISCO VLV DE RET SM 106,1,A,,,"$0,00",21/05/2026,
´040307,SULLAIR,HOROMET.MEC.TAQ.(042029) P/GM,2,A,,,"$0,00",21/05/2026,
´011531,SULLAIR,KIT (OLD 011601),2,A,,"$262,50","$525,00",21/05/2026,
405815-001,SULLAIR,SILENCIADOR (SAR 105-190),1,A,,"$239,30","$239,30",21/05/2026,
02250155-536,SULLAIR,TRANSDUCER PRES0-250 1-5VD,1,A,,"$2.106,00","$2.106,00",21/05/2026,
´042034,SULLAIR,TRAMPA AUT.,1,A,,"$984,00","$984,00",21/05/2026,
250017-451,SULLAIR,INDICADOR DIFERENC. MPH/MPF,1,A,,,"$0,00",21/05/2026,
02250129-683,SULLAIR,TRAMPA DRENAJE SR 2 al 100,1,A,,"$1.032,70","$1.032,70",21/05/2026,
,SULLAIR,DELUXE MICROPROCESSOR CONTROLLER LS/20,1,A,,,"$0,00",21/05/2026,
250005-185,SULLAIR,IND PRESION 2 DIAM. 0-200,3,A,,,,06/08/2026,
250004-641,SULLAIR,ELEMENTO DE ACOPLE 12-60 IMP.,1,A,,"$1.016,90","$1.016,90",06/07/2026,
´001105,SULLAIR,KIT FILTRO ACEITE CEDAZO,2,A,,,"$0,00",21/05/2026,
250040-892,SULLAIR,,1,A,,,"$0,00",21/05/2026,
02250125-856,SULLAIR,BOBINA P/SOLENOIDE 6E,1,A,,"$325,70","$325,70",21/05/2026,
02250125-657,SULLAIR,VLV.SOLENOIDE DE 3 VIAS *,0,A,,"$830,40","$0,00",21/05/2026,
02250226-353,SULLAIR,CONTROLADOR P/RFA 230V,1,A,,"$1.004,90","$1.004,90",21/05/2026,
02250125-705,SULLAIR,VALVULA SOLENOIDE EX049827,1,A,,"$1.361,40","$1.361,40",21/05/2026,
250031-431,SULLAIR,VALVULA SOLENOIDE 4 VIAS 1/4,1,A,250025-516,"$3.333,80","$3.333,80",21/05/2026,
02250056-838,SULLAIR,KIT DEFLECTOR P/TRAMPA SRD125,1,A,,,"$0,00",21/05/2026,
250025-362,SULLAIR,MANOMETRO (GAUGE OIL PRESSURE),1,A,,"$496,80","$496,80",21/05/2026,
´047536,SULLAIR,TACO AMORTIGUANTE TRASERO,1,A,,"$312,60","$312,60",21/05/2026,
250016-394,SULLAIR,RESORTE COM 2.69 X 5.80 30LBS,1,A,,"$106,30","$106,30",21/05/2026,
