id_movimiento,tipo_movimiento,codigo,cantidad,fecha,comprobante,cliente_proveedor,retira_responsable
MOV-00001,Ingreso,02250057-036,1,2025-09-02,,SULLAIR,
MOV-00002,Ingreso,02250218-885,1,2025-09-02,,SULLAIR,
MOV-00003,Ingreso,02250183-425,48,2025-09-02,,SULLAIR,
MOV-00004,Ingreso,02250155-709,6,2025-09-11,,SULLAIR,
MOV-00005,Ingreso,02250215-621,1,2025-09-11,,SULLAIR,
MOV-00006,Ingreso,88290014-484,3,2025-09-11,,SULLAIR,
MOV-00007,Ingreso,02250078-031,1,2025-09-11,,SULLAIR,
MOV-00008,Ingreso,88290014-485,3,2025-09-11,,SULLAIR,
MOV-00009,Ingreso,250025-525,1,2025-09-11,,SULLAIR,
MOV-00010,Ingreso,02250127-684,2,2025-09-11,,SULLAIR,
MOV-00011,Ingreso,02250137-895,1,2025-09-11,,SULLAIR,
MOV-00012,Ingreso,02250125-372,1,2025-09-11,,SULLAIR,
MOV-00013,Ingreso,88290015-049,1,2025-09-11,,SULLAIR,
MOV-00014,Ingreso,FAC973,2,2025-09-22,,VOX,
MOV-00015,Ingreso,HD9841,1,2025-09-22,,VOX,
MOV-00016,Ingreso,AL12,1,2025-09-22,,MAHLE,
MOV-00017,Ingreso,HLP4147,1,2025-09-22,,VOX,
MOV-00018,Ingreso,FBS480/1,1,2025-09-22,,VOX,
MOV-00019,Ingreso,LE2002,1,2025-09-22,,VOX,
MOV-00020,Ingreso,`004115,6,2025-09-22,,PETRAK,
MOV-00021,Ingreso,`004060,6,2025-09-22,,PETRAK,
MOV-00022,Ingreso,02250193-569,1,2025-10-01,,SULLAIR,
MOV-00023,Ingreso,02250193-591,1,2025-10-01,,SULLAIR,
MOV-00024,Ingreso,250028-034,1,2025-10-01,,SULLAIR,
MOV-00025,Ingreso,250028-032,1,2025-10-01,,SULLAIR,
MOV-00026,Ingreso,02250155-709,4,2025-10-01,,SULLAIR,
MOV-00027,Ingreso,02250125-372,3,2025-10-01,,SULLAIR,
MOV-00028,Ingreso,02250215-617,2,2025-10-01,,SULLAIR,
MOV-00029,Ingreso,LF4054-FLE,1,2025-10-01,,FLEETGUARD,
MOV-00030,Ingreso,250019-453,1,2025-10-01,,SULLAIR,
MOV-00031,Ingreso,CC2848-FLE,2,2025-10-01,,FLEETGUARD,
MOV-00032,Ingreso,02250196-470,2,2025-10-01,,SULLAIR,
MOV-00033,Ingreso,OC 47,2,2025-10-02,,VOX,
MOV-00034,Ingreso,LX1056,1,2025-10-02,,VOX,
MOV-00035,Ingreso,KC647/1,1,2025-10-02,,VOX,
MOV-00036,Ingreso,KC648/1,1,2025-10-02,,MAHLE,
MOV-00037,Ingreso,KC51,1,2025-10-02,,MAHLE,
MOV-00038,Ingreso,WF2072,1,2025-10-02,,FLEETGUARD,
MOV-00039,Ingreso,EF-440,3,2025-10-02,,LANSS,
MOV-00040,Ingreso,KC648/1,1,2025-10-06,,MAHLE,
MOV-00041,Ingreso,250041-638,2,2025-10-07,0001-00426688,SULLAIR,
MOV-00042,Ingreso,250027-201,2,2025-10-07,0001-00426688,SULLAIR,
MOV-00043,Ingreso,`001104,1,2025-10-07,0001-00426688,SULLAIR,
MOV-00044,Ingreso,02250196-470,1,2025-10-07,0001-00426688,SULLAIR,
MOV-00045,Ingreso,02250196-471,1,2025-10-13,0001-00427013,SULLAIR,
MOV-00046,Ingreso,02250137-895,2,2025-10-13,0001-00427013,SULLAIR,
MOV-00047,Ingreso,02250215-617,4,2025-10-13,0001-00427013,SULLAIR,
MOV-00048,Ingreso,02250155-709,1,2025-10-13,0001-00427013,SULLAIR,
MOV-00049,Ingreso,WF2073-FLE,2,2025-10-13,0001-00427013,FLEETGUARD,
MOV-00050,Ingreso,250034-116,1,2025-10-13,0001-00427013,SULLAIR,
MOV-00051,Ingreso,250042-862,1,2025-10-13,0001-00427013,SULLAIR,
MOV-00052,Ingreso,250025-525,3,2025-10-13,0001-00427013,SULLAIR,
MOV-00053,Ingreso,250028-032,1,2025-10-13,0001-00427013,SULLAIR,
MOV-00054,Ingreso,88290014-484,3,2025-10-13,0001-00427013,SULLAIR,
MOV-00055,Ingreso,88290015-567,4,2025-10-13,0001-00427013,SULLAIR,
MOV-00056,Ingreso,88290014-485,2,2025-10-13,0001-00427013,SULLAIR,
MOV-00057,Ingreso,88290014-486,4,2025-10-13,0001-00427013,SULLAIR,
MOV-00058,Ingreso,250025-526,2,2025-10-13,0001-00427013,SULLAIR,
MOV-00059,Ingreso,88290015-049,2,2025-10-13,0001-00427013,SULLAIR,
MOV-00060,Ingreso,02250218-885,1,2025-10-13,0001-00427013,SULLAIR,
MOV-00061,Ingreso,02250215-621,1,2025-10-13,0001-00427013,SULLAIR,
MOV-00062,Ingreso,250027-201,1,2025-10-13,0001-00427013,SULLAIR,
MOV-00063,Ingreso,1001092456-JLG,1,2025-10-13,0001-00427013,SULLAIR,
MOV-00064,Ingreso,HP9834,1,2025-10-13,0007-00043035,,
MOV-00065,Ingreso,HK301,1,2025-10-13,0007-00043035,,
MOV-00066,Ingreso,FS40/7,1,2025-10-13,0007-00043035,,
MOV-00067,Ingreso,KC118/1,1,2025-10-13,0007-00043035,,
MOV-00068,Ingreso,HDS839,1,2025-10-13,0007-00043035,,
MOV-00069,Ingreso,AL12,1,2025-10-13,0007-00043035,,
MOV-00070,Ingreso,MR372,1,2025-10-13,0007-00043035,,
MOV-00071,Ingreso,ML1212G,1,2025-10-13,0007-00043035,,
MOV-00072,Ingreso,ML3000,1,2025-10-13,0007-00043035,,
MOV-00073,Ingreso,FS1280,6,2025-10-13,0007-00043035,,
MOV-00074,Ingreso,FF5052,1,2025-10-13,0007-00043035,,
MOV-00075,Ingreso,MR378,3,2025-10-22,,,
MOV-00076,Ingreso,MR378/S,2,2025-10-22,,,
MOV-00077,Ingreso,02250196-470,1,2025-10-22,,SULLAIR,
