codigo,descripcion,proveedor,equivalencias,precio,uso_destino
02250209-667,MANGUERA LP F-JIC 1.5 X 21 LG,ITR - ITALIA | SULLAIR,,590.5,
02250209-581,MANGUERA 5/8 ID - CONEXIÓN REC,SULLAIR,,454.5,
02250209-579,MANGUERA HIDRAU. 3/4 X 48 LG,SULLAIR,,538.7,
´042582,INDICADOR DE TEMP.,SULLAIR,,,
88290018-640,CONTROLADOR p/ SHOPTEK,SULLAIR,,1890.9,
ESD5500E,SPEED CONTROL UNIT,IMP,,,
2004438,SENSOR BULBO DE PRESION SCANIA,PELLACANI,,,
250023-218,DISTANCIADOR 375Q,SULLAIR,,,
3655944,,IMP,,,
ADC120-12,ELECTRIC ACTUADOR 12V | ELECTRIC ACTUADOR 24V,IMP,,,
250023-340,CHAVETA 375Q,SULLAIR,,,
`040930,JUNTA UNION FLEXIBLE,SULLAIR,,132.3,
0250025-001,-,SULLAIR,,,
826502-232,O-RING VITON 2 3/4 X 1/8,SULLAIR,,36.4,
250022-782,RESORTE CIL VEL P/185Q,SULLAIR,,44.3,
02250155-536,TRANSDUCER PRES0 | TRANSDUCER PRES0-250 1-5VD | TRANSDUCER PRES0-250,SULLAIR,,2106,
`040523,JUNTA FLEXMASTER 3 S.20,SULLAIR,,182.5,
02250166-967,-,SULLAIR,,,
`040091,TACO AMORTIG TABLERO,SULLAIR,,49.5,
`040649,FLEXMASTER 2 1/2,SULLAIR,,,
02250152-810,FLG KIT SAE SPLIT 2 M12 X 30,SULLAIR,,121.5,
307-3070,RELAY 12V,CUMMINS,,131.7,
250040-904,KIT DOOR LATCH,SULLAIR,,223.8,
68722536,RETEN,SULLAIR,,24.4,
7010944,FLEX COUP.KIT,SULLAIR,,90.3,
250006-526,RESORTE LUZ DE CONTROL,SULLAIR,,142.5,
02250209-583,MANGUERA HIDRAU. 3/4 X 60 LG,SULLAIR,,417.2,
`001684,JGO REP VLV RETENCION (SELLOS),SULLAIR,,162.5,
S/C,RETEN REDUCTOR E450 A/AJ | VLV SOLENOIDE | -,- | IMPORTADO | JOHN DEERE,,,
4954473,JUNTA DE BOMBIN COMB p/ QSX15,CUMMINS,,87,
0357-0030,RECTIF. 6AMP P/DQKB/5NHD QSK60,CUMMINS,,31,
267351,-,LUMMUS,,,
3921642,-,CUMMINS,,,
300-2812,PLAQ.12LUCES (EX300-2812),ONAN,,4693,
300-4750,,ONAN,,,
1810716,-,ONAN,,,
300-4308,,ONAN,,,
300-4296,PLAQ.ENCENDIDO ECM 12LUCES 12V,ONAN,,5720.8,
300-5148-04,MODULO,ONAN,,602,
0327-1513,PLAQUETA,CUMMINS,,,
300-3953-01,,ONAN,,,
4935095,BOMBIN COMB. 24V p/QSX15,SULLAIR,,1057,
0300-4819,PLAQUETA (PC) P/DFHA/B/C,CUMMINS,,4387.8,
