id_stock,codigo,cantidad,ubicacion,precio,precio_total,fecha_control
STK-00001,02250209-667,1,A,590.5,590.5,2026-07-06
STK-00002,02250209-581,1,A,454.5,454.5,2026-07-06
STK-00003,02250209-579,0,A,538.7,0.0,2026-08-07
STK-00004,´042582,0,A,,,2026-05-21
STK-00005,88290018-640,2,A,1890.9,3781.8,2026-05-21
STK-00006,ESD5500E,10,-,,,2026-07-23
STK-00007,2004438,1,A,,,2026-05-26
STK-00008,250023-218,0,A,,,2026-05-21
STK-00009,3655944,10,-,,,2026-07-23
STK-00010,ADC120-12,2,-,,,2026-07-23
STK-00011,ADC120-12,6,-,,,2026-07-23
STK-00012,250023-340,0,A,,,2026-05-21
STK-00013,`040930,0,A,132.3,0.0,2026-05-21
STK-00014,0250025-001,1,A,,,2026-05-21
STK-00015,826502-232,1,A,36.4,36.4,2026-05-21
STK-00016,250022-782,1,A,44.3,44.3,2026-05-21
STK-00017,02250155-536,1,A,2106,2106,2026-05-21
STK-00018,`040523,1,A,182.5,182.5,2026-05-21
STK-00019,02250166-967,1,A,,,2026-05-21
STK-00020,`040091,1,A,17.5,17.5,2026-05-21
STK-00021,`040649,2,A,,,2026-05-21
STK-00022,02250152-810,2,A,121.5,243.0,2026-05-21
STK-00023,307-3070,3,A,131.7,395.09999999999997,2026-05-21
STK-00024,250040-904,2,A,223.8,447.6,2026-05-21
STK-00025,68722536,1,A,24.4,24.4,2026-05-21
STK-00026,7010944,1,A,90.3,90.3,2026-05-21
STK-00027,250006-526,1,A,142.5,142.5,2026-05-21
STK-00028,02250209-583,1,A,417.2,417.2,2026-05-21
STK-00029,`001684,1,A,162.5,162.5,2026-05-21
STK-00030,S/C,3,A,,,2026-05-21
STK-00031,4954473,1,A,87,87,2026-05-21
STK-00032,0357-0030,1,A,31,31,2026-05-21
STK-00033,267351,1,A,,,2026-05-21
STK-00034,3921642,1,A,,,2026-05-21
STK-00035,300-2812,2,A,4693,9386,2026-05-21
STK-00036,300-4750,1,A,,,2026-05-21
STK-00037,1810716,1,A,,,2026-05-21
